semester,buying_data,avg_buying_price,minimum_buying_price,max_buying_price,selling_data,avg_selling_price,minimum_selling_price,max_selling_price
2004_1,195235,1.2952816861730735,0.33,2.73,281531,1.5260958118288927,0.59,2.89
2004_2,626609,1.4639525286103455,0.38,2.55,915317,1.6970443900856206,0.69,3.10
2005_1,612689,1.5908034908411935,0.36,2.57,912729,1.8215658536104364,0.66,3.22
2005_2,455397,1.6802440288363779,0.42,2.94,741813,1.9161313295938464,0.78,3.60
2006_1,556915,1.8857204241221730,0.47,2.95,868880,2.1278331069883068,0.80,3.50
2006_2,533246,1.8148607209430544,0.47,2.76,802334,2.0565494669302311,0.80,3.50
2007_1,577294,1.7968319435157823,0.48,2.66,843679,2.0492670909196507,0.79,3.31
2007_2,439763,1.6920102646198066,0.53,2.87,659632,1.9743364482014214,0.83,3.33
2008_1,386271,1.7558422713587093,0.56,2.62,636862,2.0222794734181031,0.89,3.35
2008_2,395809,1.8225997640275992,0.67,2.82,678557,2.0876783969511773,0.93,3.33
2009_1,364309,1.8003462994326245,0.67,2.73,644873,2.0769681317096545,0.83,3.34
2009_2,280129,1.7895172581203660,0.46,2.88,485891,2.0687739431271623,0.87,3.50
2010_1,321406,1.8356446052656142,0.63,2.99,628516,2.1457842600665695,0.96,3.50
2010_2,310272,1.8211628506600660,0.75,2.92,645339,2.1188722361425545,0.99,3.50
2011_1,280130,1.9926243529789740,0.60,3.00,649693,2.2942014766974556,1.02,3.63
2011_2,271564,2.0001131961526565,0.63,2.98,650008,2.3075962603537187,1.10,3.72
2012_1,283708,2.0018153876520930,0.66,2.96,662246,2.3107320240514854,1.01,3.72
2012_2,304993,2.0128408848727676,0.77,2.96,672257,2.3233889717771626,1.28,3.80
2013_1,293307,2.1237172996212160,0.84,2.98,664530,2.4459273020029194,1.29,3.94
2013_2,302797,2.1070917149113102,0.93,3.04,699372,2.4611777423173933,1.26,4.08
2014_1,197685,2.2563879404102486,1.03,3.31,473635,2.5937677536499625,1.34,4.16
2014_2,291490,2.2363811794572713,1.07,3.30,723088,2.6044738676343682,1.38,4.37
2015_1,266617,2.4204727005404757,1.10,3.47,696774,2.8227898859601535,1.38,4.53
2015_2,164426,2.5547375719168501,1.17,3.73,410974,2.9560872707275886,1.39,4.80
2016_1,191504,2.7966810614921882,1.13,3.83,486897,3.2168071481237305,1.50,4.89
2016_2,228284,2.7793181300485360,1.12,3.96,488960,3.1946598494764398,1.69,4.90
2017_1,224745,2.7907911188235556,1.17,4.14,487659,3.2365598912354740,1.73,5.00
2017_2,131020,2.8689860326667684,1.25,4.46,300947,3.3100369832561880,1.70,5.20
2018_1,188187,3.2366269721075313,1.24,4.84,469833,3.6488543376050639,1.76,5.60
2018_2,198303,3.3167594035390287,1.51,5.02,493169,3.7551448083719780,1.90,6.29
2019_1,191139,3.2967894568873961,1.64,5.09,496730,3.7300235339117831,2.00,6.29
2019_2,190730,3.3420265820793792,1.68,4.92,507299,3.7680153913175465,2.10,5.86
2020_1,128975,3.2311525489435937,1.56,5.00,496663,3.6455903701302493,1.80,5.90
2020_2,27037,3.0501416577282983,1.54,4.69,222637,3.6764697242596693,2.00,6.00
2021_1,0,,,,334681,4.7362547619972451,2.05,7.30
2021_2,0,,,,472856,5.5939304143333277,2.75,8.99
2022_1,0,,,,529424,6.4574152286258273,3.17,9.27
2022_2,0,,,,378078,5.6423723411571157,2.49,9.65
2023_1,0,,,,431576,5.2193786262442768,2.97,9.00
2023_2,0,,,,472424,5.3778787487511219,2.39,9.79
